Designator,Footprint,Comment,Mid X,Mid Y,Layer,Rotation,Comment
C56,402,0.1 uF,-5.4262mm,5.9436mm,T,270,0.1 uF
C57,402,0.1 uF,6.2578mm,12.5476mm,T,180,0.1 uF
C58,402,0.1 uF,-5.4262mm,2.7686mm,T,270,0.1 uF
C10,402,0.1uF,112.3028mm,1.8796mm,T,90,0.1uF
C53,402,0.1uF,14.6558mm,29.3116mm,T,0,0.1uF
C12,402,0.47uF,107.3498mm,7.9756mm,T,360,0.47uF
C59,402,0402 Ferrite,13.4968mm,5.3086mm,T,360,0402 Ferrite
C60,402,0402 Ferrite,13.4968mm,3.4036mm,T,360,0402 Ferrite
R7,3-0603,100K,105.0638mm,5.9436mm,T,270,100K
R3,3-0603,10K,110.9218mm,4.4958mm,T,0,10K
R4,3-0603,10K,110.7948mm,6.477mm,T,180,10K
R5,3-0603,10K,107.6038mm,6.3246mm,T,360,10K
R6,3-0603,10K,107.6038mm,4.9276mm,T,180,10K
R2,3-0603,10X,103.9114mm,-0.2032mm,T,180,10X
C13,402,1uF,76.8698mm,5.3086mm,T,90,1uF
C14,402,1uF,76.8698mm,-2.3114mm,T,270,1uF
C39,402,1uF,38.6588mm,0.6096mm,T,180,1uF
C40,402,1uF,45.7708mm,0.6256mm,T,360,1uF
R1,3-0603,20k,113.3188mm,-1.5494mm,T,180,20k
R16,3-0603,20k,38.6588mm,-1.2794mm,T,360,20k
R9,3-0603,20k,74.8378mm,5.4356mm,T,270,20k
P27,HDR2X3,AVR SPI,37.6428mm,35.4076mm,T,360,AVR SPI
P18,HDR1X2,Battery,71.2978mm,34.5186mm,T,180,Battery
P21,HDR1X2,Battery,-5.6642mm,19.0246mm,T,270,Battery
P23,HDR1X2,Battery,64.6938mm,34.7726mm,T,180,Battery
C16,603,C0603,104.7242mm,-1.6256mm,T,360,C0603
C8,603,C0603,113.3188mm,-0.2794mm,T,180,C0603
C9,603,C0603,113.8268mm,2.1336mm,T,270,C0603
P28,Header_2x5_50mil,Custom program 2x5,35.5346mm,15.5702mm,T,180,Custom program 2x5
P19,DIP1,DIP1,26.8478mm,24.6126mm,T,360,DIP1
P16,HDR1X4,Display,113.3188mm,33.2486mm,T,360,Display
P11,HDR1X2,GND Tie,98.0788mm,35.7886mm,T,180,GND Tie
P22,HDR1X3,Header 3,111.9218mm,37.1856mm,T,180,Header 3
P24,HDR1X4,Header 4,4.3528mm,36.6776mm,T,360,Header 4
P29,HDR1X5,Header 5,-5.6802mm,30.7086mm,T,90,Header 5
P12,HDR1X3,HYDROPHONE,117.1288mm,19.6596mm,T,90,HYDROPHONE
P14,HDR1X3,HYDROPHONE,117.1288mm,27.7876mm,T,90,HYDROPHONE
P2,HDR1X3,HYDROPHONE,117.1288mm,1.6256mm,T,90,HYDROPHONE
P3,HDR1X3,HYDROPHONE,117.1288mm,9.8806mm,T,90,HYDROPHONE
U14,Keller7LD,Keller7LD,3.3368mm,29.0576mm,T,180,Keller7LD
D1,Diode0603,LED_0603,81.026mm,35.2552mm,T,180,LED_0603
D2,Diode0603,LED_0603,-1.6002mm,17.3736mm,T,180,LED_0603
D3,Diode0603,LED_0603,47.6598mm,35.2806mm,T,360,LED_0603
D4,Diode0603,LED_0603,22.0218mm,37.3126mm,T,0,LED_0603
D5,Diode0603,LED_0603,22.0058mm,35.2806mm,T,180,LED_0603
U10,MF05A_N,LP3985IM5-3.3,42.3418mm,-0.3904mm,T,360,LP3985IM5-3.3
U3,MF05A_N,LP3985IM5-3.3,75.8298mm,1.6296mm,T,270,LP3985IM5-3.3
U2,MAX9788,MAX9788,108.4928mm,0.7366mm,T,180,MAX9788
P17,microSD_Molex_hinged,microSD-Molex,57.3118mm,15.2146mm,T,90,microSD-Molex
P25,microSD_Molex_hinged,microSD-Molex,25.8572mm,14.9606mm,T,90,microSD-Molex
P8,microSD_Molex_hinged,microSD-Molex,89.4428mm,15.9766mm,T,90,microSD-Molex
P13,MICROUSB-VERT,microUSB-vert,66.9008mm,15.1846mm,T,270,microUSB-vert
P6,MICROUSB-VERT,microUSB-vert,99.2858mm,16.2006mm,T,270,microUSB-vert
U16,MS5837,MS5837,15.1318mm,33.1056mm,T,90,MS5837
R23,3-0603,omit,0.6858mm,12.8016mm,T,180,omit
P5,HDR_2x1_2mm,PIEZO,101.1mm,-3.0988mm,T,90,PIEZO
U19,GPS_SAM-MQ8,SAM-M8Q,3.8568mm,3.9216mm,T,360,SAM-M8Q
P26,Tactile-B3U-1000,Tactile,17.7038mm,15.113mm,T,90,Tactile
P4,Tactile-B3U-1000,Tactile,91.2114mm,24.8666mm,T,0,Tactile
P9,Tactile-B3U-1000,Tactile,58.9788mm,24.13mm,T,180,Tactile
P15,HDR_2x1_2mm,USB,51.8428mm,-3.3274mm,T,270,USB
P7,HDR_2x1_2mm,USB,85.2438mm,-3.3274mm,T,270,USB
